image_name,min_value,max_value,min_angle,max_angle
v_0882_f_0000_rgba.png,"[471, 275]","[471, 275]","[-0.554264, -0.313943, -0.0102]","[0.554264, -0.313943, -0.0102]"
v_0108_f_0000_rgba.png,"[472, 539]","[472, 539]","[-0.289041, -0.567648, -0.0102]","[0.289041, -0.567648, -0.0102]"
v_0548_f_0000_rgba.png,"[515, 624]","[515, 624]","[-0.573144, -0.277984, -0.0102]","[0.573144, -0.277985, -0.0102]"
v_0889_f_0000_rgba.png,"[370, 449]","[370, 449]","[-0.62264, -0.134495, -0.0102]","[0.62264, -0.134496, -0.0102]"
v_0406_f_0000_rgba.png,"[485, 532]","[485, 532]","[-0.636196, -0.0320028, -0.0102]","[0.636196, -0.0320029, -0.0102]"
v_0611_f_0000_rgba.png,"[573, 572]","[573, 572]","[-0.446648, -0.454174, -0.0102]","[0.446648, -0.454174, -0.0102]"
v_0791_f_0000_rgba.png,"[371, 424]","[371, 424]","[-0.539551, -0.338606, -0.0102]","[0.539551, -0.338606, -0.0102]"
v_0107_f_0000_rgba.png,"[590, 547]","[590, 547]","[-0.604754, -0.200105, -0.0102]","[0.604754, -0.200105, -0.0102]"
v_0497_f_0000_rgba.png,"[526, 585]","[526, 585]","[-0.598424, -0.218305, -0.0102]","[0.598424, -0.218305, -0.0102]"
v_0704_f_0000_rgba.png,"[489, 702]","[489, 702]","[-0.565967, -0.292319, -0.0102]","[0.565967, -0.292319, -0.0102]"
v_0283_f_0000_rgba.png,"[743, 560]","[743, 560]","[-0.612187, -0.176057, -0.0102]","[0.612187, -0.176057, -0.0102]"
v_0720_f_0000_rgba.png,"[364, 411]","[364, 411]","[-0.491905, -0.404721, -0.0102]","[0.491905, -0.404721, -0.0102]"
v_0722_f_0000_rgba.png,"[497, 391]","[497, 391]","[-0.333884, -0.542486, -0.0102]","[0.333883, -0.542486, -0.0102]"
v_0857_f_0000_rgba.png,"[258, 531]","[258, 531]","[-0.593203, -0.232119, -0.0102]","[0.593203, -0.232119, -0.0102]"
v_0224_f_0000_rgba.png,"[292, 802]","[292, 802]","[-0.635606, -0.042117, -0.0102]","[0.635606, -0.0421169, -0.0102]"
v_0950_f_0000_rgba.png,"[415, 412]","[415, 412]","[-0.441938, -0.458759, -0.0102]","[0.441938, -0.458759, -0.0102]"
v_0384_f_0000_rgba.png,"[584, 502]","[584, 502]","[-0.477347, -0.421793, -0.0102]","[0.477347, -0.421793, -0.0102]"
v_0572_f_0000_rgba.png,"[560, 425]","[560, 425]","[-0.291676, -0.566299, -0.0102]","[0.291676, -0.566298, -0.0102]"
v_0105_f_0000_rgba.png,"[698, 411]","[698, 411]","[-0.50621, -0.386678, -0.0102]","[0.506211, -0.386678, -0.0102]"
v_0316_f_0000_rgba.png,"[591, 540]","[591, 540]","[-0.25273, -0.584719, -0.0102]","[0.25273, -0.584719, -0.0102]"
v_0941_f_0000_rgba.png,"[470, 372]","[470, 372]","[-0.506323, -0.386531, -0.0102]","[0.506323, -0.386531, -0.0102]"
v_0616_f_0000_rgba.png,"[528, 554]","[528, 554]","[-0.401466, -0.494565, -0.0102]","[0.401466, -0.494565, -0.0102]"
v_0821_f_0000_rgba.png,"[689, 360]","[689, 360]","[-0.467676, -0.43249, -0.0102]","[0.467676, -0.43249, -0.0102]"
v_0097_f_0000_rgba.png,"[481, 590]","[481, 590]","[-0.258723, -0.582092, -0.0102]","[0.258723, -0.582092, -0.0102]"
v_0396_f_0000_rgba.png,"[613, 700]","[613, 700]","[-0.470137, -0.429814, -0.0102]","[0.470137, -0.429814, -0.0102]"
v_0304_f_0000_rgba.png,"[415, 526]","[415, 526]","[-0.51475, -0.375235, -0.0102]","[0.51475, -0.375235, -0.0102]"
v_0078_f_0000_rgba.png,"[427, 551]","[427, 551]","[-0.239949, -0.590079, -0.0102]","[0.239949, -0.590079, -0.0102]"
v_0042_f_0000_rgba.png,"[481, 647]","[481, 647]","[-0.439198, -0.461383, -0.0102]","[0.439198, -0.461383, -0.0102]"
v_0746_f_0000_rgba.png,"[375, 552]","[375, 552]","[-0.39201, -0.502093, -0.0102]","[0.39201, -0.502093, -0.0102]"
v_0748_f_0000_rgba.png,"[678, 704]","[678, 704]","[-0.583457, -0.255631, -0.0102]","[0.583457, -0.255631, -0.0102]"
v_0142_f_0000_rgba.png,"[583, 552]","[583, 552]","[-0.222025, -0.597055, -0.0102]","[0.222025, -0.597055, -0.0102]"
v_0463_f_0000_rgba.png,"[711, 740]","[711, 740]","[-0.537994, -0.341074, -0.0102]","[0.537994, -0.341073, -0.0102]"
v_0637_f_0000_rgba.png,"[525, 647]","[525, 647]","[-0.306384, -0.558478, -0.0102]","[0.306384, -0.558478, -0.0102]"
v_0239_f_0000_rgba.png,"[363, 441]","[363, 441]","[-0.543959, -0.331477, -0.0102]","[0.543959, -0.331477, -0.0102]"
v_0878_f_0000_rgba.png,"[391, 348]","[391, 348]","[-0.503622, -0.390043, -0.0102]","[0.503622, -0.390043, -0.0102]"
v_0437_f_0000_rgba.png,"[489, 454]","[489, 454]","[-0.226072, -0.595534, -0.0102]","[0.226072, -0.595534, -0.0102]"
v_0543_f_0000_rgba.png,"[414, 598]","[414, 598]","[-0.285899, -0.569237, -0.0102]","[0.285899, -0.569237, -0.0102]"
v_0353_f_0000_rgba.png,"[437, 506]","[437, 506]","[-0.276765, -0.573734, -0.0102]","[0.276765, -0.573734, -0.0102]"
v_0398_f_0000_rgba.png,"[661, 659]","[661, 659]","[-0.511467, -0.379698, -0.0102]","[0.511467, -0.379698, -0.0102]"
v_0135_f_0000_rgba.png,"[544, 643]","[544, 643]","[-0.3439, -0.536192, -0.0102]","[0.3439, -0.536192, -0.0102]"
v_0309_f_0000_rgba.png,"[267, 615]","[267, 615]","[-0.546182, -0.327802, -0.0102]","[0.546182, -0.327802, -0.0102]"
v_0273_f_0000_rgba.png,"[286, 289]","[286, 289]","[-0.608756, -0.187577, -0.0102]","[0.608756, -0.187577, -0.0102]"
v_0629_f_0000_rgba.png,"[410, 490]","[410, 490]","[-0.284179, -0.570098, -0.0102]","[0.284179, -0.570098, -0.0102]"
v_0898_f_0000_rgba.png,"[737, 514]","[737, 514]","[-0.562944, -0.298099, -0.0102]","[0.562944, -0.298099, -0.0102]"
v_0385_f_0000_rgba.png,"[529, 560]","[529, 560]","[-0.357882, -0.526963, -0.0102]","[0.357882, -0.526963, -0.0102]"
v_0660_f_0000_rgba.png,"[693, 455]","[693, 455]","[-0.46063, -0.439987, -0.0102]","[0.460631, -0.439987, -0.0102]"
v_0619_f_0000_rgba.png,"[502, 458]","[502, 458]","[-0.241724, -0.589355, -0.0102]","[0.241723, -0.589355, -0.0102]"
v_0688_f_0000_rgba.png,"[617, 620]","[617, 620]","[-0.616946, -0.158578, -0.0102]","[0.616946, -0.158578, -0.0102]"
v_0294_f_0000_rgba.png,"[241, 728]","[241, 728]","[-0.619905, -0.146584, -0.0102]","[0.619905, -0.146584, -0.0102]"
v_0166_f_0000_rgba.png,"[566, 392]","[566, 392]","[-0.399958, -0.495785, -0.0102]","[0.399958, -0.495785, -0.0102]"
v_0041_f_0000_rgba.png,"[562, 527]","[562, 527]","[-0.245622, -0.587741, -0.0102]","[0.245622, -0.587741, -0.0102]"
v_0334_f_0000_rgba.png,"[464, 532]","[464, 532]","[-0.419122, -0.479694, -0.0102]","[0.419122, -0.479694, -0.0102]"
v_0507_f_0000_rgba.png,"[453, 527]","[453, 527]","[-0.487185, -0.41039, -0.0102]","[0.487185, -0.41039, -0.0102]"
v_0189_f_0000_rgba.png,"[503, 719]","[503, 719]","[-0.519591, -0.368502, -0.0102]","[0.519591, -0.368502, -0.0102]"
v_0139_f_0000_rgba.png,"[569, 540]","[569, 540]","[-0.246138, -0.587524, -0.0102]","[0.246138, -0.587524, -0.0102]"
v_0535_f_0000_rgba.png,"[432, 511]","[432, 511]","[-0.255176, -0.583656, -0.0102]","[0.255176, -0.583656, -0.0102]"
v_0357_f_0000_rgba.png,"[530, 463]","[530, 463]","[-0.334069, -0.542371, -0.0102]","[0.334069, -0.542371, -0.0102]"
v_0986_f_0000_rgba.png,"[364, 511]","[364, 511]","[-0.565625, -0.29298, -0.0102]","[0.565625, -0.29298, -0.0102]"
v_0144_f_0000_rgba.png,"[332, 322]","[332, 322]","[-0.619491, -0.148324, -0.0102]","[0.619491, -0.148324, -0.0102]"
v_0794_f_0000_rgba.png,"[661, 509]","[661, 509]","[-0.393343, -0.50105, -0.0102]","[0.393343, -0.501049, -0.0102]"
v_0050_f_0000_rgba.png,"[445, 477]","[445, 477]","[-0.499112, -0.395799, -0.0102]","[0.499112, -0.395799, -0.0102]"
v_0152_f_0000_rgba.png,"[389, 624]","[389, 624]","[-0.474801, -0.424657, -0.0102]","[0.474801, -0.424657, -0.0102]"
v_0900_f_0000_rgba.png,"[537, 301]","[537, 301]","[-0.631828, -0.0810064, -0.0102]","[0.631828, -0.0810064, -0.0102]"
v_0451_f_0000_rgba.png,"[608, 709]","[608, 709]","[-0.54545, -0.329018, -0.0102]","[0.54545, -0.329018, -0.0102]"
v_0844_f_0000_rgba.png,"[702, 344]","[702, 344]","[-0.634983, -0.0506534, -0.0102]","[0.634983, -0.0506533, -0.0102]"
v_0888_f_0000_rgba.png,"[462, 736]","[462, 736]","[-0.545964, -0.328164, -0.0102]","[0.545965, -0.328164, -0.0102]"
v_0278_f_0000_rgba.png,"[535, 327]","[535, 327]","[-0.620377, -0.144575, -0.0102]","[0.620377, -0.144575, -0.0102]"
v_0805_f_0000_rgba.png,"[560, 583]","[560, 583]","[-0.461632, -0.438936, -0.0102]","[0.461632, -0.438936, -0.0102]"
v_0349_f_0000_rgba.png,"[536, 482]","[536, 482]","[-0.326, -0.547259, -0.0102]","[0.326, -0.547259, -0.0102]"
v_0968_f_0000_rgba.png,"[613, 407]","[613, 407]","[-0.309497, -0.556759, -0.0102]","[0.309497, -0.556759, -0.0102]"
v_0229_f_0000_rgba.png,"[571, 410]","[571, 410]","[-0.482226, -0.416205, -0.0102]","[0.482226, -0.416205, -0.0102]"
v_0819_f_0000_rgba.png,"[425, 392]","[425, 392]","[-0.545392, -0.329115, -0.0102]","[0.545392, -0.329115, -0.0102]"
v_0420_f_0000_rgba.png,"[496, 599]","[496, 599]","[-0.438196, -0.462334, -0.0102]","[0.438196, -0.462335, -0.0102]"
v_0118_f_0000_rgba.png,"[560, 539]","[560, 539]","[-0.220881, -0.597479, -0.0102]","[0.220881, -0.597479, -0.0102]"
v_0856_f_0000_rgba.png,"[534, 272]","[534, 272]","[-0.625916, -0.118316, -0.0102]","[0.625916, -0.118316, -0.0102]"
v_0792_f_0000_rgba.png,"[450, 429]","[450, 429]","[-0.357622, -0.527139, -0.0102]","[0.357622, -0.527139, -0.0102]"
v_0320_f_0000_rgba.png,"[593, 350]","[593, 350]","[-0.456572, -0.444197, -0.0102]","[0.456572, -0.444198, -0.0102]"
v_0647_f_0000_rgba.png,"[438, 237]","[438, 237]","[-0.633793, -0.0638365, -0.0102]","[0.633793, -0.0638366, -0.0102]"
v_0981_f_0000_rgba.png,"[714, 740]","[714, 740]","[-0.52431, -0.361757, -0.0102]","[0.52431, -0.361757, -0.0102]"
v_0298_f_0000_rgba.png,"[464, 622]","[464, 622]","[-0.287804, -0.568276, -0.0102]","[0.287804, -0.568276, -0.0102]"
v_0129_f_0000_rgba.png,"[438, 518]","[438, 518]","[-0.342677, -0.536974, -0.0102]","[0.342677, -0.536974, -0.0102]"
v_0534_f_0000_rgba.png,"[477, 712]","[477, 712]","[-0.632626, -0.0745224, -0.0102]","[0.632626, -0.0745222, -0.0102]"
v_0731_f_0000_rgba.png,"[579, 421]","[579, 421]","[-0.24657, -0.587343, -0.0102]","[0.24657, -0.587343, -0.0102]"
v_0425_f_0000_rgba.png,"[464, 600]","[464, 600]","[-0.371536, -0.517427, -0.0102]","[0.371536, -0.517426, -0.0102]"
v_0276_f_0000_rgba.png,"[637, 452]","[637, 452]","[-0.573501, -0.277247, -0.0102]","[0.573501, -0.277247, -0.0102]"
v_0439_f_0000_rgba.png,"[504, 546]","[504, 546]","[-0.488999, -0.408227, -0.0102]","[0.488999, -0.408227, -0.0102]"
v_0774_f_0000_rgba.png,"[399, 278]","[399, 278]","[-0.568688, -0.286989, -0.0102]","[0.568688, -0.286989, -0.0102]"
v_0940_f_0000_rgba.png,"[340, 689]","[340, 689]","[-0.612565, -0.174739, -0.0102]","[0.612565, -0.174739, -0.0102]"
v_0559_f_0000_rgba.png,"[424, 517]","[424, 517]","[-0.555021, -0.312602, -0.0102]","[0.555022, -0.312602, -0.0102]"
v_0999_f_0000_rgba.png,"[408, 679]","[408, 679]","[-0.636968, -0.00635334, -0.0102]","[0.636968, -0.00635331, -0.0102]"
v_0306_f_0000_rgba.png,"[572, 607]","[572, 607]","[-0.316916, -0.55257, -0.0102]","[0.316916, -0.55257, -0.0102]"
v_0225_f_0000_rgba.png,"[460, 367]","[460, 367]","[-0.423425, -0.475899, -0.0102]","[0.423425, -0.475899, -0.0102]"
v_0965_f_0000_rgba.png,"[725, 734]","[725, 734]","[-0.565949, -0.292353, -0.0102]","[0.565949, -0.292354, -0.0102]"
v_0959_f_0000_rgba.png,"[576, 609]","[576, 609]","[-0.570514, -0.283341, -0.0102]","[0.570515, -0.283341, -0.0102]"
v_0760_f_0000_rgba.png,"[551, 676]","[551, 676]","[-0.410205, -0.48734, -0.0102]","[0.410205, -0.48734, -0.0102]"
v_0790_f_0000_rgba.png,"[434, 639]","[434, 639]","[-0.49351, -0.402762, -0.0102]","[0.49351, -0.402762, -0.0102]"
v_0661_f_0000_rgba.png,"[428, 705]","[428, 705]","[-0.476924, -0.42227, -0.0102]","[0.476925, -0.42227, -0.0102]"
v_0542_f_0000_rgba.png,"[642, 416]","[642, 416]","[-0.355564, -0.528529, -0.0102]","[0.355564, -0.528529, -0.0102]"
v_0356_f_0000_rgba.png,"[487, 590]","[487, 590]","[-0.259794, -0.581615, -0.0102]","[0.259794, -0.581615, -0.0102]"
v_0617_f_0000_rgba.png,"[669, 539]","[669, 539]","[-0.559058, -0.305324, -0.0102]","[0.559058, -0.305324, -0.0102]"
v_0169_f_0000_rgba.png,"[369, 278]","[369, 278]","[-0.539605, -0.338519, -0.0102]","[0.539605, -0.338519, -0.0102]"
v_0188_f_0000_rgba.png,"[780, 719]","[780, 719]","[-0.630417, -0.0913458, -0.0102]","[0.630417, -0.0913457, -0.0102]"
v_0198_f_0000_rgba.png,"[566, 318]","[566, 318]","[-0.481801, -0.416697, -0.0102]","[0.481801, -0.416697, -0.0102]"
v_0242_f_0000_rgba.png,"[431, 405]","[431, 405]","[-0.333258, -0.542871, -0.0102]","[0.333258, -0.542871, -0.0102]"
v_0251_f_0000_rgba.png,"[356, 442]","[356, 442]","[-0.626778, -0.11366, -0.0102]","[0.626778, -0.11366, -0.0102]"
v_0874_f_0000_rgba.png,"[438, 608]","[438, 608]","[-0.573034, -0.27821, -0.0102]","[0.573034, -0.27821, -0.0102]"
v_0381_f_0000_rgba.png,"[350, 663]","[350, 663]","[-0.456381, -0.444393, -0.0102]","[0.456381, -0.444393, -0.0102]"
v_0771_f_0000_rgba.png,"[554, 396]","[554, 396]","[-0.634149, -0.0601995, -0.0102]","[0.634149, -0.0601994, -0.0102]"
v_0141_f_0000_rgba.png,"[575, 470]","[575, 470]","[-0.313364, -0.554592, -0.0102]","[0.313364, -0.554592, -0.0102]"
v_0899_f_0000_rgba.png,"[300, 758]","[300, 758]","[-0.622004, -0.137403, -0.0102]","[0.622004, -0.137403, -0.0102]"
v_0944_f_0000_rgba.png,"[488, 549]","[488, 549]","[-0.353365, -0.530002, -0.0102]","[0.353365, -0.530002, -0.0102]"
v_0308_f_0000_rgba.png,"[565, 428]","[565, 428]","[-0.321033, -0.550188, -0.0102]","[0.321033, -0.550188, -0.0102]"
v_0095_f_0000_rgba.png,"[526, 560]","[526, 560]","[-0.225577, -0.595721, -0.0102]","[0.225577, -0.595721, -0.0102]"
v_0241_f_0000_rgba.png,"[453, 501]","[453, 501]","[-0.218033, -0.598524, -0.0102]","[0.218032, -0.598524, -0.0102]"
v_0734_f_0000_rgba.png,"[538, 314]","[538, 314]","[-0.615015, -0.165909, -0.0102]","[0.615015, -0.165909, -0.0102]"
v_0691_f_0000_rgba.png,"[471, 436]","[471, 436]","[-0.304835, -0.559325, -0.0102]","[0.304835, -0.559325, -0.0102]"
