image_name,dial_value,bbox,camera_matrix
v_0998_f_0000_rgba.png,6.12593,"[569.0, 234.0, 215.0, 191.0]","[0.9971851706504822, -0.035556234419345856, -0.06601150333881378, 0.0, 0.014022749848663807, 0.953312873840332, -0.30165860056877136, 0.0, 0.07365546375513077, 0.2998838424682617, 0.9511280655860901, 0.0, -0.12552803754806519, 0.5431569814682007, 3.9529638290405273, 1.0]"
v_0705_f_0000_rgba.png,5.67748,"[508.0, 381.0, 166.0, 160.0]","[0.9994553923606873, 0.005417709704488516, -0.03255103528499603, 0.0, -0.010671308264136314, 0.986491322517395, -0.16346555948257446, 0.0, 0.03122570365667343, 0.163723886013031, 0.9860118627548218, 0.0, -0.03503669798374176, 0.7174710035324097, 4.863903999328613, 1.0]"
v_0219_f_0000_rgba.png,-1.27948,"[242.0, 480.0, 412.0, 82.0]","[0.9980059862136841, 0.04380545765161514, -0.045443516224622726, 0.0, -0.0384724885225296, 0.9929368495941162, 0.11223334819078445, 0.0, 0.05003897473216057, -0.1102612242102623, 0.9926422238349915, 0.0, 0.09291043132543564, -0.2568219006061554, 2.622464179992676, 1.0]"
v_0246_f_0000_rgba.png,0.57037,"[348.0, 489.0, 246.0, 105.0]","[0.997787594795227, -0.006964539643377066, -0.06611675769090652, 0.0, 0.019374672323465347, 0.9817917346954346, 0.1889699548482895, 0.0, 0.06359679251909256, -0.189832866191864, 0.9797545075416565, 0.0, 0.2456233948469162, -0.6489991545677185, 4.08756160736084, 1.0]"
v_0521_f_0000_rgba.png,2.12492,"[550.0, 171.0, 52.0, 296.0]","[0.9935099482536316, 0.0009781329426914454, -0.11374112218618393, 0.0, -0.01647677831351757, 0.9906536340713501, -0.13540267944335938, 0.0, 0.11254560947418213, 0.13639798760414124, 0.9842403531074524, 0.0, 0.22954532504081726, 0.11422057449817657, 3.765902519226074, 1.0]"
v_0234_f_0000_rgba.png,0.267067,"[318.0, 453.0, 284.0, 95.0]","[0.9993270635604858, 0.01724213734269142, 0.03237401321530342, 0.0, -0.018317434936761856, 0.9992802739143372, 0.03321746736764908, 0.0, -0.03177797049283981, -0.03378812596201897, 0.998923659324646, 0.0, -0.12953361868858337, -0.13971637189388275, 3.747187614440918, 1.0]"
v_0318_f_0000_rgba.png,1.08889,"[489.0, 299.0, 203.0, 182.0]","[0.9964114427566528, 0.008861790411174297, -0.08417672663927078, 0.0, -0.02307773195207119, 0.9852687120437622, -0.1694490909576416, 0.0, 0.08143507689237595, 0.1707836240530014, 0.9819375276565552, 0.0, -0.03979383781552315, 0.407304048538208, 4.196006774902344, 1.0]"
v_0004_f_0000_rgba.png,-0.2,"[97.0, 706.0, 220.0, 64.0]","[0.9645742177963257, -0.02403014339506626, 0.26271504163742065, 0.0, -0.05778889358043671, 0.9524102807044983, 0.2992909550666809, 0.0, -0.25740450620651245, -0.3038703203201294, 0.9172816872596741, 0.0, -0.32837703824043274, -0.7169225811958313, 5.180105686187744, 1.0]"
v_0532_f_0000_rgba.png,2.18899,"[531.0, 504.0, 57.0, 299.0]","[0.9967343807220459, -0.028438454493880272, -0.0755763053894043, 0.0, 0.028912022709846497, 0.999568521976471, 0.005179180298000574, 0.0, 0.07539641112089157, -0.007347331382334232, 0.997126579284668, 0.0, 0.1439092755317688, 0.5649361610412598, 3.6361494064331055, 1.0]"
v_0701_f_0000_rgba.png,3.97778,"[280.0, 436.0, 217.0, 177.0]","[0.9512023329734802, 0.007827921770513058, 0.30846861004829407, 0.0, 0.031972143799066544, 0.991797149181366, -0.12375874072313309, 0.0, -0.306907057762146, 0.12758199870586395, 0.9431494474411011, 0.0, -0.7305944561958313, 0.6468297839164734, 3.958728790283203, 1.0]"
v_0045_f_0000_rgba.png,-0.911111,"[269.0, 365.0, 231.0, 175.0]","[0.9970351457595825, -0.012095513753592968, -0.07599113881587982, 0.0, 0.01562787964940071, 0.9988163113594055, 0.04606259614229202, 0.0, 0.0753440335392952, -0.047113604843616486, 0.9960439801216125, 0.0, 0.5644674301147461, -0.46349000930786133, 3.8885412216186523, 1.0]"
v_0901_f_0000_rgba.png,7.25906,"[581.0, 522.0, 228.0, 38.0]","[0.9995378255844116, -0.022299161180853844, 0.02066156081855297, 0.0, 0.023907963186502457, 0.9964107871055603, -0.08120334148406982, 0.0, -0.018776634708046913, 0.08165979385375977, 0.9964833855628967, 0.0, -0.6122456789016724, 0.5082958936691284, 4.723318099975586, 1.0]"
v_0813_f_0000_rgba.png,7.41221,"[360.0, 597.0, 200.0, 98.0]","[0.9966811537742615, -0.03917519375681877, -0.07135845720767975, 0.0, 0.05439214035868645, 0.9726727604866028, 0.22571922838687897, 0.0, 0.06056583672761917, -0.22885143756866455, 0.9715754389762878, 0.0, 0.7030132412910461, -0.5725472569465637, 5.002522945404053, 1.0]"
v_0708_f_0000_rgba.png,7.07688,"[668.0, 119.0, 146.0, 169.0]","[0.9906790256500244, -0.014179370366036892, -0.13547711074352264, 0.0, -0.017844226211309433, 0.9724878072738647, -0.23226922750473022, 0.0, 0.13504327833652496, 0.23252172768115997, 0.9631702899932861, 0.0, -0.11234931647777557, 0.09879086166620255, 5.45734977722168, 1.0]"
v_0635_f_0000_rgba.png,2.82963,"[571.0, 200.0, 197.0, 242.0]","[0.9823437333106995, 0.04520728439092636, -0.18154075741767883, 0.0, -0.04679228365421295, 0.9988946914672852, -0.004455158486962318, 0.0, 0.18113869428634644, 0.012871203944087029, 0.9833733439445496, 0.0, 0.3267439305782318, -0.411663681268692, 3.7685842514038086, 1.0]"
v_0019_f_0000_rgba.png,-1.15135,"[519.0, 347.0, 200.0, 258.0]","[0.9809477925300598, -0.008384683169424534, -0.1940903663635254, 0.0, -0.00024207940441556275, 0.999014675617218, -0.04438081756234169, 0.0, 0.1942712366580963, 0.0435822531580925, 0.9799792170524597, 0.0, 0.3000166416168213, -0.06979931890964508, 3.5057320594787598, 1.0]"
v_0325_f_0000_rgba.png,-0.794995,"[261.0, 437.0, 343.0, 233.0]","[0.997994065284729, 0.02346060425043106, -0.058800116181373596, 0.0, -0.014455003663897514, 0.9887097477912903, 0.14914460480213165, 0.0, 0.06163527071475983, -0.1479954719543457, 0.9870655536651611, 0.0, 0.2116827815771103, -0.25154566764831543, 2.72505521774292, 1.0]"
v_0183_f_0000_rgba.png,-0.232433,"[212.0, 625.0, 318.0, 58.0]","[0.9876775145530701, -0.016357969492673874, 0.15564553439617157, 0.0, 0.01577141508460045, 0.9998630881309509, 0.005002755206078291, 0.0, -0.15570606291294098, -0.002486358629539609, 0.9878003001213074, 0.0, -0.3239525854587555, 0.39165231585502625, 3.462035655975342, 1.0]"
v_0168_f_0000_rgba.png,1.2961,"[74.0, 230.0, 227.0, 76.0]","[0.917016327381134, -0.021252043545246124, 0.39828309416770935, 0.0, 0.046853385865688324, 0.9974054098129272, -0.05465563386678696, 0.0, -0.3960881531238556, 0.06878101825714111, 0.9156327843666077, 0.0, -0.9699615836143494, -0.6002537608146667, 4.938761234283447, 1.0]"
v_0905_f_0000_rgba.png,3.65946,"[489.0, 370.0, 282.0, 169.0]","[0.9655207395553589, 0.009406181052327156, -0.26015621423721313, 0.0, -0.03316325694322586, 0.9956490993499756, -0.08708059042692184, 0.0, 0.25820520520210266, 0.09270574152469635, 0.9616317749023438, 0.0, 0.7332427501678467, 0.09217630326747894, 3.4190783500671387, 1.0]"
v_0982_f_0000_rgba.png,3.09189,"[577.0, 535.0, 201.0, 320.0]","[0.9958215355873108, -0.00572406779974699, 0.09114110469818115, 0.0, 0.005489769857376814, 0.9999809265136719, 0.0028212093748152256, 0.0, -0.0911555215716362, -0.0023090774193406105, 0.9958339929580688, 0.0, -0.6116657257080078, 0.3003663718700409, 2.9779186248779297, 1.0]"
v_0728_f_0000_rgba.png,3.40621,"[584.0, 373.0, 276.0, 158.0]","[0.9988471865653992, -0.009783834218978882, 0.046995606273412704, 0.0, 0.0153969069942832, 0.9925811886787415, -0.12060504406690598, 0.0, -0.04546697437763214, 0.12118959426879883, 0.9915875196456909, 0.0, -0.6208311319351196, 0.325403094291687, 3.5587244033813477, 1.0]"
v_0677_f_0000_rgba.png,3.75556,"[370.0, 573.0, 206.0, 210.0]","[0.986694872379303, -0.010485011152923107, -0.1622444987297058, 0.0, 0.05123407393693924, 0.9671264886856079, 0.24908125400543213, 0.0, 0.15429933369159698, -0.2540796399116516, 0.9547958970069885, 0.0, 0.8618563413619995, -0.37702280282974243, 3.844451427459717, 1.0]"
v_0830_f_0000_rgba.png,5.77057,"[298.0, 626.0, 240.0, 46.0]","[0.9904096722602844, 0.013267869129776955, 0.13752330839633942, 0.0, -0.04317415505647659, 0.9752519130706787, 0.2168402075767517, 0.0, -0.13124287128448486, -0.22069808840751648, 0.9664717316627502, 0.0, -0.1065155640244484, -0.4910688102245331, 4.512016296386719, 1.0]"
v_0967_f_0000_rgba.png,2.98378,"[323.0, 333.0, 226.0, 297.0]","[0.9639877676963806, -0.003571149194613099, 0.2659226655960083, 0.0, 0.04600849002599716, 0.9870725870132446, -0.15352824330329895, 0.0, -0.2619366943836212, 0.16023404896259308, 0.9516901969909668, 0.0, -0.5446145534515381, 0.29073044657707214, 2.937032699584961, 1.0]"
v_0537_f_0000_rgba.png,2.71852,"[329.0, 514.0, 66.0, 266.0]","[0.9459183216094971, 0.02966916747391224, 0.3230452537536621, 0.0, -0.08354126662015915, 0.9845013618469238, 0.15420091152191162, 0.0, -0.3134634792804718, -0.17284908890724182, 0.9337365031242371, 0.0, -0.835459291934967, -0.08670166879892349, 4.00970983505249, 1.0]"
v_0249_f_0000_rgba.png,-0.668869,"[440.0, 575.0, 326.0, 99.0]","[0.9872412085533142, 0.034219082444906235, -0.15551160275936127, 0.0, -0.01375462207943201, 0.9913119077682495, 0.1308111548423767, 0.0, 0.15863674879074097, -0.12700316309928894, 0.9791346192359924, 0.0, 0.11543671786785126, -0.1259063482284546, 3.2806825637817383, 1.0]"
v_0797_f_0000_rgba.png,1.27508,"[463.0, 400.0, 380.0, 79.0]","[0.9863885045051575, 0.008307626470923424, 0.1642215996980667, 0.0, 0.011334601789712906, 0.9929119944572449, -0.11831002682447433, 0.0, -0.1640404760837555, 0.1185610368847847, 0.9793028235435486, 0.0, -0.60010826587677, 0.17895039916038513, 2.6808266639709473, 1.0]"
v_0499_f_0000_rgba.png,4.4012,"[759.0, 615.0, 39.0, 220.0]","[0.9753898978233337, -0.0466374009847641, -0.21549838781356812, 0.0, 0.08039525151252747, 0.9853131175041199, 0.15064740180969238, 0.0, 0.20530758798122406, -0.1642649918794632, 0.9648138880729675, 0.0, 0.0561007522046566, 0.24714016914367676, 5.187607765197754, 1.0]"
v_0013_f_0000_rgba.png,-1.11532,"[173.0, 533.0, 212.0, 112.0]","[0.998305082321167, -0.01688920147716999, -0.0556933619081974, 0.0, 0.023419465869665146, 0.9926453828811646, 0.1187715008854866, 0.0, 0.05327780172228813, -0.1198744997382164, 0.9913584589958191, 0.0, 0.978711724281311, -0.34716928005218506, 4.6419291496276855, 1.0]"
v_0366_f_0000_rgba.png,3.53734,"[514.0, 674.0, 96.0, 186.0]","[0.9791756272315979, 0.025937078520655632, -0.20135119557380676, 0.0, 0.024475177749991417, 0.9694893956184387, 0.24390825629234314, 0.0, 0.20153412222862244, -0.24375714361667633, 0.9486656188964844, 0.0, 0.8277895450592041, -0.09704535454511642, 5.447820663452148, 1.0]"
v_0083_f_0000_rgba.png,-0.535736,"[408.0, 307.0, 243.0, 77.0]","[0.9951847791671753, 0.01602437160909176, -0.09669794142246246, 0.0, -0.03197707608342171, 0.985647439956665, -0.16576071083545685, 0.0, 0.09265387058258057, 0.16805465519428253, 0.981413722038269, 0.0, 0.1949613094329834, 0.12419340759515762, 4.369122505187988, 1.0]"
v_0008_f_0000_rgba.png,-1.2,"[220.0, 431.0, 210.0, 150.0]","[0.9957142472267151, 0.029608238488435745, -0.08761562407016754, 0.0, -0.026433780789375305, 0.9989591836929321, 0.03717292845249176, 0.0, 0.08862505108118057, -0.034697603434324265, 0.9954605102539062, 0.0, 0.9078110456466675, -0.24008946120738983, 4.291222095489502, 1.0]"
v_0711_f_0000_rgba.png,4.05185,"[386.0, 497.0, 217.0, 169.0]","[0.99603670835495, -0.03514428809285164, 0.08170551061630249, 0.0, 0.03410844877362251, 0.9993194937705994, 0.014039505273103714, 0.0, -0.08214332163333893, -0.011197013780474663, 0.9965576529502869, 0.0, -0.14196710288524628, 0.2685820460319519, 4.134617328643799, 1.0]"
v_0788_f_0000_rgba.png,4.57037,"[584.0, 450.0, 248.0, 92.0]","[0.9989149570465088, 0.006444449070841074, -0.04612395912408829, 0.0, -0.0014541751006618142, 0.9942128658294678, 0.10741829127073288, 0.0, 0.04654928669333458, -0.1072346568107605, 0.9931434392929077, 0.0, -0.30590859055519104, -0.47236210107803345, 4.220597743988037, 1.0]"
v_0319_f_0000_rgba.png,-0.839039,"[183.0, 423.0, 386.0, 208.0]","[0.9988185167312622, -0.029308749362826347, 0.03876340016722679, 0.0, 0.027853788807988167, 0.9989062547683716, 0.03755639120936394, 0.0, -0.03982173278927803, -0.036432310938835144, 0.9985423684120178, 0.0, 0.03204748034477234, -0.022652272135019302, 2.63851261138916, 1.0]"
v_0299_f_0000_rgba.png,1.23003,"[367.0, 275.0, 199.0, 154.0]","[0.9980136156082153, -0.03427628427743912, -0.0528576597571373, 0.0, 0.023006679490208626, 0.9793822765350342, -0.20070135593414307, 0.0, 0.05864715203642845, 0.19908660650253296, 0.9782254695892334, 0.0, 0.2820725739002228, 0.41980138421058655, 4.524864196777344, 1.0]"
v_0371_f_0000_rgba.png,-0.205405,"[414.0, 272.0, 254.0, 285.0]","[0.9895585179328918, -0.014011544175446033, 0.14344897866249084, 0.0, 0.006299674976617098, 0.9985170364379883, 0.054074060171842575, 0.0, -0.14399391412734985, -0.0526057668030262, 0.9881793260574341, 0.0, -0.6065484881401062, -0.27586865425109863, 2.984616756439209, 1.0]"
v_0262_f_0000_rgba.png,0.459259,"[191.0, 224.0, 274.0, 136.0]","[0.9874120354652405, -0.0005127904005348682, 0.15816830098628998, 0.0, 0.023454302921891212, 0.9894139766693115, -0.14321263134479523, 0.0, -0.1564204841852188, 0.14511960744857788, 0.9769713282585144, 0.0, -0.2179589718580246, -0.061577506363391876, 3.875502586364746, 1.0]"
v_0475_f_0000_rgba.png,2.74354,"[718.0, 419.0, 49.0, 237.0]","[0.9944313168525696, -0.0058800834231078625, -0.10522278398275375, 0.0, 0.015901554375886917, 0.9953829646110535, 0.09465695172548294, 0.0, 0.10418037325143814, -0.09580303728580475, 0.989933431148529, 0.0, -0.3745475113391876, -0.16671152412891388, 4.609070777893066, 1.0]"
v_0414_f_0000_rgba.png,2.23904,"[190.0, 144.0, 135.0, 245.0]","[0.996656596660614, -0.01742584817111492, 0.07982450723648071, 0.0, 0.04129436984658241, 0.9504579901695251, -0.3080980181694031, 0.0, -0.07050096988677979, 0.3103642165660858, 0.9479998350143433, 0.0, 0.46440109610557556, 0.658505916595459, 4.270462989807129, 1.0]"
v_0221_f_0000_rgba.png,-0.796997,"[135.0, 405.0, 342.0, 62.0]","[0.9583964943885803, -0.00859382376074791, 0.28531089425086975, 0.0, 0.006686028093099594, 0.9999483227729797, 0.0076601142063736916, 0.0, -0.28536197543144226, -0.005433829966932535, 0.9584044218063354, 0.0, -0.5941647291183472, -0.22977200150489807, 3.2235426902770996, 1.0]"
v_0778_f_0000_rgba.png,7.80561,"[561.0, 188.0, 178.0, 125.0]","[0.9915186762809753, -0.008211337961256504, -0.12970444560050964, 0.0, -0.0352804996073246, 0.9435198307037354, -0.32943230867385864, 0.0, 0.125083789229393, 0.3312143385410309, 0.9352278113365173, 0.0, 0.2622823715209961, 0.7968365550041199, 5.362128734588623, 1.0]"
v_0593_f_0000_rgba.png,3.16296,"[498.0, 157.0, 134.0, 253.0]","[0.9992170333862305, 0.028574060648679733, -0.027365393936634064, 0.0, -0.028250114992260933, 0.9995270371437073, 0.012152221985161304, 0.0, 0.02769968844950199, -0.011369631625711918, 0.9995516538619995, 0.0, 0.014801070094108582, -0.622789204120636, 3.947510242462158, 1.0]"
v_0799_f_0000_rgba.png,2.06486,"[491.0, 460.0, 356.0, 65.0]","[0.9898028373718262, -0.02178126759827137, 0.1407690942287445, 0.0, 0.0014174660900607705, 0.9896971583366394, 0.14316953718662262, 0.0, -0.1424371898174286, -0.14151008427143097, 0.9796359539031982, 0.0, -0.6282663941383362, -0.4509239196777344, 2.8694748878479004, 1.0]"
v_0424_f_0000_rgba.png,1.48428,"[561.0, 452.0, 121.0, 269.0]","[0.9735644459724426, 0.018201308324933052, -0.22768615186214447, 0.0, -0.010845402255654335, 0.9993793368339539, 0.03351680561900139, 0.0, 0.22815488278865814, -0.03016142174601555, 0.9731575846672058, 0.0, 0.49427899718284607, 0.263111412525177, 3.8009629249572754, 1.0]"
v_0009_f_0000_rgba.png,-0.2,"[91.0, 330.0, 211.0, 71.0]","[0.9986840486526489, 0.04978913813829422, 0.012297208420932293, 0.0, -0.0456688329577446, 0.9724730849266052, -0.22849604487419128, 0.0, -0.023335326462984085, 0.2276337593793869, 0.9734671711921692, 0.0, 1.0049782991409302, 0.5694246292114258, 4.957990646362305, 1.0]"
v_0081_f_0000_rgba.png,-1.69389,"[256.0, 388.0, 277.0, 217.0]","[0.9995990991592407, 0.0076360986568033695, 0.027264682576060295, 0.0, -0.006017545238137245, 0.998242199420929, -0.05896063521504402, 0.0, -0.027666985988616943, 0.05877292901277542, 0.997887909412384, 0.0, 0.09375026077032089, 0.06722258031368256, 3.283679962158203, 1.0]"
v_0432_f_0000_rgba.png,2.83664,"[271.0, 313.0, 74.0, 224.0]","[0.9738218784332275, 0.028268488124012947, 0.22554780542850494, 0.0, 0.004378774203360081, 0.9897202253341675, -0.1429499089717865, 0.0, -0.2272702157497406, 0.14019538462162018, 0.9636874794960022, 0.0, -0.35451939702033997, 0.5303746461868286, 4.786510467529297, 1.0]"
v_0477_f_0000_rgba.png,0.804605,"[517.0, 219.0, 70.0, 323.0]","[0.9994940757751465, 0.02968057617545128, -0.01142927072942257, 0.0, -0.02897120639681816, 0.9979019165039062, 0.0579000860452652, 0.0, 0.013123799115419388, -0.057539671659469604, 0.9982569813728333, 0.0, -0.0510803684592247, -0.3746500015258789, 3.3049254417419434, 1.0]"
v_0692_f_0000_rgba.png,3.9037,"[231.0, 333.0, 219.0, 174.0]","[0.9988488554954529, 0.04674538969993591, 0.010760572738945484, 0.0, -0.04371079429984093, 0.9793940782546997, -0.19717153906822205, 0.0, -0.01975570060312748, 0.19647420942783356, 0.9803099632263184, 0.0, 0.6178909540176392, 0.6239100098609924, 4.017205238342285, 1.0]"
v_0364_f_0000_rgba.png,3.17798,"[287.0, 435.0, 117.0, 191.0]","[0.9612203240394592, -0.004926362074911594, 0.2757375240325928, 0.0, -0.01426323875784874, 0.9976142644882202, 0.06754511594772339, 0.0, -0.2754124402999878, -0.06885864585638046, 0.9588568806648254, 0.0, -0.8165274262428284, -0.12631212174892426, 5.0174970626831055, 1.0]"
v_0678_f_0000_rgba.png,3.08589,"[577.0, 308.0, 211.0, 210.0]","[0.9977401494979858, -0.03207382932305336, 0.05904131755232811, 0.0, 0.030387915670871735, 0.9991105794906616, 0.029234737157821655, 0.0, -0.05992647260427475, -0.027374528348445892, 0.9978273510932922, 0.0, -0.6463453769683838, -0.28685733675956726, 3.7704663276672363, 1.0]"
v_0235_f_0000_rgba.png,0.267067,"[483.0, 456.0, 270.0, 101.0]","[0.9527402520179749, 0.03307502344250679, -0.3019801676273346, 0.0, -0.04083644971251488, 0.9989770650863647, -0.01942293718457222, 0.0, 0.3010288178920746, 0.030836811289191246, 0.9531162977218628, 0.0, 0.681952178478241, 0.10789954662322998, 3.745187282562256, 1.0]"
v_0206_f_0000_rgba.png,0.274074,"[167.0, 540.0, 277.0, 70.0]","[0.9895309805870056, 0.03346982225775719, 0.14038600027561188, 0.0, -0.0383356437087059, 0.9987491965293884, 0.03209969773888588, 0.0, -0.13913604617118835, -0.03714543208479881, 0.9895763397216797, 0.0, -0.08374489098787308, 0.08460042625665665, 4.004996299743652, 1.0]"
v_0510_f_0000_rgba.png,3.58939,"[521.0, 400.0, 39.0, 233.0]","[0.9935625195503235, -0.03705456107854843, -0.10705366730690002, 0.0, 0.044669825583696365, 0.9965718984603882, 0.06963544338941574, 0.0, 0.1041063666343689, -0.07396923750638962, 0.9918116927146912, 0.0, 0.38771241903305054, -0.15208199620246887, 4.6559834480285645, 1.0]"
v_0404_f_0000_rgba.png,3.55435,"[381.0, 655.0, 80.0, 198.0]","[0.9885939955711365, -0.015985677018761635, 0.14975425601005554, 0.0, -0.004244474694132805, 0.9909986257553101, 0.13380485773086548, 0.0, -0.15054522454738617, -0.13291430473327637, 0.9796274304389954, 0.0, -0.4646871089935303, 0.47418227791786194, 5.344416618347168, 1.0]"
v_0911_f_0000_rgba.png,5.53333,"[342.0, 300.0, 250.0, 77.0]","[0.9824647903442383, -0.035719018429517746, 0.18299488723278046, 0.0, 0.0673612654209137, 0.9831838607788086, -0.16974085569381714, 0.0, -0.17385464906692505, 0.1790911853313446, 0.9683495759963989, 0.0, -0.4576970040798187, 0.14009906351566315, 4.198984146118164, 1.0]"
v_0926_f_0000_rgba.png,2.76757,"[511.0, 461.0, 285.0, 242.0]","[0.999666690826416, -0.019835960119962692, 0.016522597521543503, 0.0, 0.019922228530049324, 0.9997886419296265, -0.0050730276852846146, 0.0, -0.01641847752034664, 0.005400503519922495, 0.9998506307601929, 0.0, -0.28032466769218445, 0.10308259725570679, 3.08833646774292, 1.0]"
v_0581_f_0000_rgba.png,2.50931,"[280.0, 164.0, 127.0, 288.0]","[0.9402261972427368, 0.013425652869045734, 0.3402857780456543, 0.0, 0.08118192106485367, 0.9615797400474548, -0.26224783062934875, 0.0, -0.3307327628135681, 0.2741973400115967, 0.9030125737190247, 0.0, -0.724621057510376, 0.5850114822387695, 3.5639500617980957, 1.0]"
v_0939_f_0000_rgba.png,6.61141,"[607.0, 501.0, 241.0, 80.0]","[0.9978147149085999, -0.00939605850726366, -0.06540289521217346, 0.0, 0.0062235137447714806, 0.9988017082214355, -0.048543501645326614, 0.0, 0.0657806396484375, 0.04803038015961647, 0.9966774582862854, 0.0, -0.304930716753006, 0.2894808351993561, 4.453861236572266, 1.0]"
v_0909_f_0000_rgba.png,6.35916,"[308.0, 428.0, 249.0, 71.0]","[0.9869852066040039, 0.008074523881077766, 0.16060829162597656, 0.0, -0.006706272717565298, 0.9999364614486694, -0.009059429168701172, 0.0, -0.16067123413085938, 0.00786443892866373, 0.9869766235351562, 0.0, -0.24860478937625885, -0.14869722723960876, 4.280362606048584, 1.0]"
v_0089_f_0000_rgba.png,0.543343,"[560.0, 757.0, 211.0, 36.0]","[0.9933295249938965, 0.0036295547615736723, -0.11525319516658783, 0.0, 0.023031866177916527, 0.9731187224388123, 0.22914956510066986, 0.0, 0.11298675090074539, -0.23027551174163818, 0.9665439128875732, 0.0, -0.1998193860054016, -0.12355808168649673, 5.361806392669678, 1.0]"
v_0654_f_0000_rgba.png,1.30811,"[355.0, 354.0, 274.0, 264.0]","[0.9750619530677795, 0.008090446703135967, 0.22178539633750916, 0.0, 0.02578800544142723, 0.988435685634613, -0.14943179488182068, 0.0, -0.22042956948280334, 0.15142466127872467, 0.963577389717102, 0.0, -0.512372612953186, 0.49652236700057983, 2.9593143463134766, 1.0]"
v_0860_f_0000_rgba.png,6.88268,"[394.0, 623.0, 228.0, 39.0]","[0.9993644952774048, 0.010528003796935081, -0.034055545926094055, 0.0, -0.004014376550912857, 0.9825518131256104, 0.18594573438167572, 0.0, 0.035418976098299026, -0.18569085001945496, 0.9819696545600891, 0.0, 0.35667288303375244, -0.386866956949234, 4.7655792236328125, 1.0]"
